location_name,date,ili,pred_hosp,true_hosp,scale_factor,population,prelim_hosp,total_hosp
Alabama,2003-11-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-11-29,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-12-06,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-12-13,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-12-20,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-12-27,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-01-03,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-01-10,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-01-17,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-01-24,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-01-31,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-02-07,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-02-14,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-02-21,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-02-28,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-03-06,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-03-13,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-03-20,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-03-27,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-04-03,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-04-10,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-04-17,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-04-24,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-05-01,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-05-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-05-15,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-05-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-05-29,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-06-05,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-06-12,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-06-19,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-06-26,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-07-03,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-07-10,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-07-17,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-07-24,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-07-31,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-08-07,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-08-14,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-08-21,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-08-28,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-09-04,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-09-11,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-09-18,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-09-25,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-10-02,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-10-09,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-10-16,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-10-23,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-10-30,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-11-06,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-11-13,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-11-20,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-11-27,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-12-04,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-12-11,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-12-18,NA,NA,NA,1,5039877,NA,NA
Alabama,2004-12-25,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-01-01,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-01-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-01-15,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-01-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-01-29,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-02-05,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-02-12,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-02-19,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-02-26,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-03-05,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-03-12,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-03-19,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-03-26,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-04-02,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-04-09,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-04-16,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-04-23,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-04-30,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-05-07,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-05-14,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-05-21,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-05-28,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-06-04,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-06-11,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-06-18,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-06-25,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-07-02,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-07-09,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-07-16,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-07-23,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-07-30,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-08-06,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-08-13,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-08-20,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-08-27,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-09-03,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-09-10,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-09-17,NA,NA,NA,1,5039877,NA,NA
Alabama,2005-09-24,NA,NA,NA,1,5039877,NA,NA
