location,n_forecasts,actual_mean,actual_std,model_median_mean,mean_bias_applied,date_range
Puerto Rico,5,174.4,26.35602397934863,186.474547264989,0.0,2026-01-17 to 2026-02-14
Rhode Island,9,118.22222222222224,80.65671808869678,71.72041611555957,0.0,2025-12-06 to 2026-01-31
Rhode Island,5,42.4,25.663982543634965,51.96995721579511,0.0,2026-01-10 to 2026-02-07
Rhode Island,5,28.8,17.151093259614676,32.47971619702763,0.0,2026-01-17 to 2026-02-14
South Carolina,9,420.6666666666667,269.794572056428,379.9250941688085,0.0,2025-12-06 to 2026-01-31
South Carolina,5,255.4,23.70316434571553,317.7439540728384,0.0,2026-01-10 to 2026-02-07
South Carolina,5,248.4,9.478396488858229,267.59369087641323,0.0,2026-01-17 to 2026-02-14
South Dakota,9,57.66666666666666,26.072548356034893,60.047951680737775,0.0,2025-12-06 to 2026-01-31
South Dakota,5,59.2,12.734205903785284,59.48199927994044,0.0,2026-01-10 to 2026-02-07
South Dakota,5,55.8,7.30479294709987,61.115596864578094,0.0,2026-01-17 to 2026-02-14
Tennessee,9,449.44444444444446,236.7648205433265,405.94889185265146,0.0,2025-12-06 to 2026-01-31
Tennessee,5,328.2,22.69273011340857,395.5772467264774,0.0,2026-01-10 to 2026-02-07
Tennessee,5,328.8,22.37319825147938,322.7015879635734,0.0,2026-01-17 to 2026-02-14
Texas,9,1597.2222222222222,560.6127159492108,1596.7174066410453,0.0,2025-12-06 to 2026-01-31
Texas,5,1236.2,64.63249956484741,1502.3758528720796,0.0,2026-01-10 to 2026-02-07
Texas,5,1215.0,152.02236677541893,1331.8648907061884,0.0,2026-01-17 to 2026-02-14
US,9,22971.11111111111,10322.391329795248,22376.289669769725,0.0,2025-12-06 to 2026-01-31
US,5,16197.4,1908.392894558141,21229.60429242972,0.0,2026-01-10 to 2026-02-07
US,5,15365.4,1179.4046972943595,16888.652788750973,0.0,2026-01-17 to 2026-02-14
Utah,9,131.0,69.23229817874827,145.15832254484988,0.0,2025-12-06 to 2026-01-31
Utah,5,80.2,11.08873302050329,115.22152778802597,0.0,2026-01-10 to 2026-02-07
Utah,5,74.4,9.604165762834375,94.8203461977174,0.0,2026-01-17 to 2026-02-14
Vermont,9,31.55555555555556,15.093126552699491,29.504237758072083,0.0,2025-12-06 to 2026-01-31
Vermont,5,25.8,5.878775382679628,36.16406046871991,0.0,2026-01-10 to 2026-02-07
Vermont,5,23.4,4.923413450036469,30.323183687004256,0.0,2026-01-17 to 2026-02-14
Virginia,9,547.4444444444445,304.6772832253501,489.26088286823074,0.0,2025-12-06 to 2026-01-31
Virginia,5,355.0,98.319886086183,495.4645379667021,0.0,2026-01-10 to 2026-02-07
Virginia,5,320.2,83.56650046519836,334.76977268784213,0.0,2026-01-17 to 2026-02-14
Washington,9,218.0,89.76512562113294,236.16426619187848,0.0,2025-12-06 to 2026-01-31
Washington,5,266.0,42.014283285568496,309.4868754307771,0.0,2026-01-10 to 2026-02-07
Washington,5,273.2,39.46340076577283,298.318461940386,0.0,2026-01-17 to 2026-02-14
West Virginia,9,158.44444444444446,65.38112386633233,133.5624435318082,0.0,2025-12-06 to 2026-01-31
West Virginia,5,167.4,31.689745975630665,200.87623525767967,0.0,2026-01-10 to 2026-02-07
West Virginia,5,164.0,32.723080539582455,161.43297100383558,0.0,2026-01-17 to 2026-02-14
Wisconsin,9,484.1111111111111,278.1791766487701,402.6370829289817,0.0,2025-12-06 to 2026-01-31
Wisconsin,5,323.2,74.5423369636343,350.8632960813465,0.0,2026-01-10 to 2026-02-07
Wisconsin,5,280.4,43.55043053748148,232.06304059215717,0.0,2026-01-17 to 2026-02-14
Wyoming,9,32.55555555555556,18.00685740434035,45.1273011775776,0.0,2025-12-06 to 2026-01-31
Wyoming,5,20.2,6.4,35.28382396600902,0.0,2026-01-10 to 2026-02-07
Wyoming,5,17.0,6.6932802122726045,24.380484644333176,0.0,2026-01-17 to 2026-02-14
